time,open,high,low,close,volume,ticker
2018-07-16,91989,91989,89767,91100,1073340,VIC
2018-07-17,89767,92522,88878,92433,1207830,VIC
2018-07-18,91100,93322,91100,93322,1918790,VIC
2018-07-19,93322,93322,91545,93322,2857260,VIC
2018-07-20,91989,93322,91989,92078,2187590,VIC
2018-07-23,92078,94655,91811,92433,1255810,VIC
2018-07-24,92433,93856,92433,92878,1493670,VIC
2018-07-25,92878,93678,92522,92789,755570,VIC
2018-07-26,93589,94211,92789,94211,1297470,VIC
2018-07-27,95100,95633,93944,94567,1187590,VIC
2018-07-30,95011,95011,93856,94567,1158200,VIC
2018-07-31,94211,95544,93411,94567,1902890,VIC
2018-08-01,94478,95544,94478,94655,1267370,VIC
2018-08-02,94655,95455,94389,94833,1629230,VIC
2018-08-03,95278,100166,94922,99099,2531090,VIC
2018-08-06,99544,100344,97500,99099,3669840,VIC
2018-08-07,98655,99099,97677,98033,1103740,VIC
2018-08-08,97500,98566,96522,96700,1617710,VIC
2018-08-09,95544,96611,92433,92611,2819240,VIC
2018-08-10,92433,94033,89767,92611,1885210,VIC
2018-08-13,91989,92433,90123,91367,1730190,VIC
2018-08-14,91367,92967,90478,91811,1167680,VIC
2018-08-15,91811,92700,90567,90567,644810,VIC
2018-08-16,88967,91634,88967,90745,1225510,VIC
2018-08-17,90745,91811,90745,90923,449530,VIC
2018-08-20,90656,91722,90656,91189,1000000,VIC
2018-08-21,91100,91634,90656,91634,1041910,VIC
2018-08-22,91989,92522,91634,92078,795470,VIC
2018-08-23,92433,94122,92433,92967,1808380,VIC
2018-08-24,92967,93411,92256,92433,1261290,VIC
2018-08-27,92522,93322,92256,92611,839360,VIC
2018-08-28,92078,92878,91989,92611,617620,VIC
2018-08-29,92611,92611,91545,91545,533720,VIC
2018-08-30,91545,91989,91100,91900,1172570,VIC
2018-08-31,91811,91900,90211,91900,1811230,VIC
2018-09-04,91900,91900,90656,90745,343190,VIC
2018-09-05,90745,91367,90211,90211,610500,VIC
2018-09-06,89856,90211,87101,87101,918940,VIC
2018-09-07,85412,87990,85412,86390,698830,VIC
2018-09-10,87101,88789,86301,88256,896450,VIC
2018-09-11,87545,90656,87545,89945,726370,VIC
2018-09-12,89945,91545,89856,90123,629760,VIC
2018-09-13,90123,90656,88878,89145,422540,VIC
2018-09-14,89145,90211,88612,89767,614370,VIC
2018-09-17,89589,90034,87901,87990,465650,VIC
2018-09-18,87101,88523,87101,88523,613160,VIC
2018-09-19,88523,88967,87545,87634,416470,VIC
2018-09-20,87278,88434,87278,87545,449420,VIC
2018-09-21,87545,88256,87456,87634,1584980,VIC
2018-09-24,87634,89145,87634,88523,323610,VIC
2018-09-25,88523,88523,88167,88434,426720,VIC
2018-09-26,88167,88256,87990,87990,505180,VIC
2018-09-27,87990,88167,87545,87634,497460,VIC
2018-09-28,87634,87634,87190,87367,857910,VIC
2018-10-01,88789,91100,87545,87545,1269410,VIC
2018-10-02,88789,90656,88612,90656,1206840,VIC
2018-10-03,91545,92345,90478,90834,860380,VIC
2018-10-04,90745,90834,89412,89412,635150,VIC
2018-10-05,88789,89234,87367,87545,1868060,VIC
2018-10-08,86745,87367,85679,85856,1766100,VIC
2018-10-09,85856,86479,85412,85856,944590,VIC
